NUMBER_I,MAG_APER_I,MAGERR_APER_I,MAG_AUTO_I,MAGERR_AUTO_I,MAG_BEST_I,MAGERR_BEST_I,KRON_RADIUS_I,BACKGROUND_I,THRESHOLD_I,ISOAREA_IMAGE_I,ISOAREAF_IMAGE_I,ALPHAPEAK_J2000_I,DELTAPEAK_J2000_I,X_IMAGE_I,Y_IMAGE_I,FWHM_IMAGE_I,FWHM_WORLD_I,ELONGATION_I,ELLIPTICITY_I,CLASS_STAR_I,FLUX_RADIUS_I,FILE_NAME_I,NUMBER_R,MAG_APER_R,MAGERR_APER_R,MAG_AUTO_R,MAGERR_AUTO_R,MAG_BEST_R,MAGERR_BEST_R,KRON_RADIUS_R,BACKGROUND_R,THRESHOLD_R,ISOAREA_IMAGE_R,ISOAREAF_IMAGE_R,ALPHAPEAK_J2000_R,DELTAPEAK_J2000_R,X_IMAGE_R,Y_IMAGE_R,FWHM_IMAGE_R,FWHM_WORLD_R,ELONGATION_R,ELLIPTICITY_R,CLASS_STAR_R,FLUX_RADIUS_R,FILE_NAME_R,NUMBER_G,MAG_APER_G,MAGERR_APER_G,MAG_AUTO_G,MAGERR_AUTO_G,MAG_BEST_G,MAGERR_BEST_G,KRON_RADIUS_G,BACKGROUND_G,THRESHOLD_G,ISOAREA_IMAGE_G,ISOAREAF_IMAGE_G,ALPHAPEAK_J2000_G,DELTAPEAK_J2000_G,X_IMAGE_G,Y_IMAGE_G,FWHM_IMAGE_G,FWHM_WORLD_G,ELONGATION_G,ELLIPTICITY_G,CLASS_STAR_G,FLUX_RADIUS_G,FILE_NAME_G
2171,-11.6196,0.0080,-12.3925,0.0106,-12.3208,0.0116,3.68,5909.792,158.8562,80,85,148.7974528,+69.1510082,414.779,784.775,3.95,0.0002051675,1.060,0.057,0.93,2.554,dataset\i24.cat,1318,-10.3769,0.0164,-13.9493,0.0065,-13.8466,0.0074,3.77,3479.355,108.2077,731,808,148.7958852,+69.1509870,445.149,861.198,31.81,0.001652424,1.121,0.108,0.03,9.812,dataset\r24.cat,1065,-11.0460,0.0086,-14.8975,0.0051,-14.7849,0.0040,3.50,2803.756,90.98881,1950,2090,148.7910859,+69.1524466,398.640,910.326,65.81,0.003418491,2.726,0.633,0.03,16.023,dataset\g24.cat
274,-12.3241,0.0046,-13.3169,0.0069,-13.3211,0.0077,3.74,4913.397,158.8562,216,228,148.6649226,+69.1155251,1327.117,106.491,5.11,0.0002653048,1.334,0.250,0.92,3.099,dataset\i24.cat,247,-11.1919,0.0085,-13.3366,0.0083,-13.1085,0.0083,4.83,2699.277,108.2077,312,328,148.6633625,+69.1155518,1361.799,188.912,9.61,0.0004991241,1.480,0.324,0.16,6.053,dataset\r24.cat,273,-11.0435,0.0086,-13.6859,0.0064,-13.6209,0.0061,4.39,2018.501,90.98881,587,632,148.6581034,+69.1171717,1318.129,247.297,21.15,0.001098548,1.664,0.399,0.03,7.573,dataset\g24.cat
3494,-11.1679,0.0115,-11.5651,0.0168,-11.5651,0.0168,3.50,4817.744,158.8562,48,54,148.7985844,+69.1845108,405.091,1429.633,3.22,0.0001672488,1.163,0.140,0.97,1.845,dataset\i24.cat,2401,-10.8592,0.0111,-11.6703,0.0146,-11.6703,0.0146,3.50,2633.103,108.2077,96,102,148.7971551,+69.1844897,439.076,1509.620,4.76,0.0002472645,1.442,0.307,0.97,2.627,dataset\r24.cat,2381,-11.0384,0.0086,-12.1388,0.0119,-12.1388,0.0119,4.31,1904.187,90.98881,147,166,148.7926595,+69.1858977,388.696,1560.936,5.32,0.000276463,1.353,0.261,0.97,3.270,dataset\g24.cat
4874,-12.7011,0.0035,-13.1867,0.0048,-13.1867,0.0048,3.50,4258.231,158.8562,107,120,148.5787514,+69.2948889,1894.389,3563.135,3.31,0.0001721083,1.032,0.031,0.98,2.003,dataset\i24.cat,3562,-11.8259,0.0053,-12.5506,0.0068,-12.5506,0.0068,3.65,2211.022,108.2077,122,126,148.5772960,+69.2949135,1927.602,3644.052,4.25,0.0002208906,1.075,0.070,0.98,2.456,dataset\r24.cat,3772,-11.0182,0.0087,-11.8963,0.0110,-11.8963,0.0110,3.86,1515.175,90.98881,100,111,148.5744321,+69.2966984,1867.664,3702.264,4.83,0.000251145,1.094,0.086,0.97,2.732,dataset\g24.cat
2958,-11.1320,0.0119,-11.6273,0.0190,-11.6405,0.0196,4.10,4967.583,158.8562,53,58,148.7277863,+69.1663856,890.915,1082.754,3.48,0.0001807276,1.031,0.030,0.98,2.036,dataset\i24.cat,2042,-10.8285,0.0113,-11.5554,0.0152,-11.5560,0.0172,3.73,2737.816,108.2077,76,80,148.7263604,+69.1664144,925.163,1163.550,4.74,0.0002462445,1.062,0.058,0.98,2.453,dataset\r24.cat,1980,-11.0030,0.0088,-12.0434,0.0106,-11.9848,0.0115,3.96,2004.196,90.98881,116,122,148.7217068,+69.1679290,876.553,1216.754,5.49,0.0002853361,1.151,0.131,0.98,3.056,dataset\g24.cat
5076,-12.8517,0.0032,-14.7394,0.0039,-14.7394,0.0039,4.34,4359.757,158.8562,827,899,148.7324969,+69.3228892,844.685,4095.549,6.23,0.0003238482,1.314,0.239,0.03,6.412,dataset\i24.cat,3710,-12.0566,0.0046,-14.1062,0.0048,-14.1062,0.0048,4.50,2241.59,108.2077,731,789,148.7311829,+69.3228665,878.154,4176.162,7.35,0.0003816664,1.298,0.230,0.03,6.780,dataset\r24.cat,3831,-10.9975,0.0089,-13.2768,0.0087,-13.2768,0.0087,5.20,1554.684,90.98881,458,493,148.7286401,+69.3244362,815.772,4229.593,10.99,0.0005710474,1.250,0.200,0.03,7.606,dataset\g24.cat
2517,-11.8565,0.0066,-12.7041,0.0089,-12.7041,0.0089,3.50,4529.765,158.8562,130,136,148.6397117,+69.1585308,1495.124,934.322,4.69,0.0002436251,1.268,0.211,0.39,2.676,dataset\i24.cat,1772,-11.2747,0.0080,-12.2801,0.0098,-12.2801,0.0098,3.76,2412.778,108.2077,127,138,148.6382875,+69.1585571,1529.412,1015.518,5.21,0.0002707416,1.046,0.044,0.74,2.980,dataset\r24.cat,1687,-10.9955,0.0089,-12.1257,0.0104,-12.1257,0.0104,3.84,1713.515,90.98881,139,151,148.6334765,+69.1602308,1481.561,1071.643,5.71,0.0002963827,1.082,0.076,0.98,3.204,dataset\g24.cat
3046,-13.4876,0.0021,-13.9614,0.0026,-13.9614,0.0026,3.50,4557.679,158.8562,154,179,148.6595343,+69.1695318,1358.297,1146.139,3.29,0.0001711522,1.041,0.040,0.98,1.958,dataset\i24.cat,2120,-11.8770,0.0052,-12.5327,0.0064,-12.5327,0.0064,3.50,2437.575,108.2077,109,116,148.6581076,+69.1695587,1392.381,1227.010,4.09,0.000212316,1.076,0.070,0.98,2.344,dataset\r24.cat,2098,-10.9826,0.0090,-11.8056,0.0118,-11.8056,0.0118,3.97,1723.434,90.98881,95,104,148.6534478,+69.1712320,1343.360,1282.760,4.66,0.0002418964,1.113,0.102,0.97,2.635,dataset\g24.cat
3486,-12.5015,0.0041,-13.0706,0.0057,-13.0749,0.0066,3.52,4414.959,158.8562,117,126,148.6199702,+69.1847169,1626.567,1439.725,3.43,0.0001781819,1.178,0.151,0.98,2.124,dataset\i24.cat,2408,-11.3410,0.0076,-12.4610,0.0101,-12.2790,0.0107,4.59,2337.083,108.2077,126,132,148.6186862,+69.1847430,1660.255,1520.494,4.84,0.0002516074,1.104,0.094,0.95,3.336,dataset\r24.cat,2395,-10.9722,0.0091,-12.3792,0.0101,-12.0715,0.0115,4.57,1650.332,90.98881,128,139,148.6143206,+69.1864186,1609.453,1576.971,6.47,0.0003362563,1.057,0.054,0.97,3.985,dataset\g24.cat
2754,-10.8622,0.0150,-11.5919,0.0233,-11.5919,0.0233,4.27,5364.816,158.8562,62,70,148.7735393,+69.1625074,578.743,1006.449,4.38,0.0002276631,1.211,0.174,0.89,2.453,dataset\i24.cat,1888,-10.6215,0.0134,-11.5044,0.0203,-11.5044,0.0203,4.65,3036.965,108.2077,78,98,148.7719690,+69.1624855,613.167,1086.983,4.96,0.0002576078,1.213,0.175,0.97,2.755,dataset\r24.cat,1809,-10.9720,0.0091,-12.3175,0.0117,-12.3175,0.0117,4.90,2311.729,90.98881,157,232,148.7671718,+69.1639461,564.980,1138.663,5.86,0.0003041742,1.184,0.155,0.98,3.905,dataset\g24.cat
