NUMBER_I,MAG_APER_I,MAGERR_APER_I,MAG_AUTO_I,MAGERR_AUTO_I,MAG_BEST_I,MAGERR_BEST_I,KRON_RADIUS_I,BACKGROUND_I,THRESHOLD_I,ISOAREA_IMAGE_I,ISOAREAF_IMAGE_I,ALPHAPEAK_J2000_I,DELTAPEAK_J2000_I,X_IMAGE_I,Y_IMAGE_I,FWHM_IMAGE_I,FWHM_WORLD_I,ELONGATION_I,ELLIPTICITY_I,CLASS_STAR_I,FLUX_RADIUS_I,FILE_NAME_I,NUMBER_R,MAG_APER_R,MAGERR_APER_R,MAG_AUTO_R,MAGERR_AUTO_R,MAG_BEST_R,MAGERR_BEST_R,KRON_RADIUS_R,BACKGROUND_R,THRESHOLD_R,ISOAREA_IMAGE_R,ISOAREAF_IMAGE_R,ALPHAPEAK_J2000_R,DELTAPEAK_J2000_R,X_IMAGE_R,Y_IMAGE_R,FWHM_IMAGE_R,FWHM_WORLD_R,ELONGATION_R,ELLIPTICITY_R,CLASS_STAR_R,FLUX_RADIUS_R,FILE_NAME_R,NUMBER_G,MAG_APER_G,MAGERR_APER_G,MAG_AUTO_G,MAGERR_AUTO_G,MAG_BEST_G,MAGERR_BEST_G,KRON_RADIUS_G,BACKGROUND_G,THRESHOLD_G,ISOAREA_IMAGE_G,ISOAREAF_IMAGE_G,ALPHAPEAK_J2000_G,DELTAPEAK_J2000_G,X_IMAGE_G,Y_IMAGE_G,FWHM_IMAGE_G,FWHM_WORLD_G,ELONGATION_G,ELLIPTICITY_G,CLASS_STAR_G,FLUX_RADIUS_G,FILE_NAME_G
4006,-15.1231,0.0008,-18.1042,0.0003,-18.1042,0.0003,3.50,4443.206,158.8562,1659,1757,148.7281868,+69.2253382,882.996,2192.613,41.21,0.002140866,3.695,0.729,0.84,8.863,dataset\i24.cat,2967,-15.1866,0.0008,-17.8840,0.0003,-17.8840,0.0003,3.50,2350.965,108.2077,1921,2031,148.7267586,+69.2245361,917.082,2272.121,35.95,0.001867182,2.092,0.522,0.73,6.653,dataset\r24.cat,3123,-15.2424,0.0008,-17.8225,0.0003,-17.8225,0.0003,3.50,1652.152,90.98881,2033,2195,148.7228556,+69.2261038,863.613,2326.494,32.94,0.001710931,1.556,0.357,0.99,6.038,dataset\g24.cat
4306,-15.1297,0.0008,-17.6944,0.0003,-17.6944,0.0003,3.50,4363.237,158.8562,1343,1437,148.6471580,+69.2282507,1435.654,2271.944,33.82,0.001756972,2.386,0.581,0.83,6.431,dataset\i24.cat,3061,-15.1898,0.0008,-17.5458,0.0003,-17.5458,0.0003,3.50,2293.72,108.2077,1504,1605,148.6458618,+69.2284334,1469.563,2352.016,29.65,0.001540398,1.493,0.330,0.96,5.426,dataset\r24.cat,3183,-15.2409,0.0008,-17.7853,0.0003,-17.7853,0.0003,3.50,1608.623,90.98881,1961,2117,148.6419518,+69.2301606,1415.799,2407.795,32.00,0.001662057,1.396,0.284,1.00,5.880,dataset\g24.cat
3649,-15.1156,0.0008,-16.4588,0.0006,-16.4588,0.0006,3.50,4659.486,158.8562,666,785,148.7710041,+69.1937198,592.706,1608.721,19.48,0.001011923,1.170,0.145,0.99,3.342,dataset\i24.cat,2522,-15.1779,0.0008,-16.3932,0.0005,-16.3932,0.0005,3.50,2526.304,108.2077,716,754,148.7695709,+69.1938538,627.030,1689.291,7.60,0.0003945469,1.081,0.075,1.00,3.150,dataset\r24.cat,2530,-15.2403,0.0008,-16.6170,0.0005,-16.6170,0.0005,3.50,1802.766,90.98881,1002,1067,148.7652223,+69.1953151,576.217,1741.242,7.67,0.0003983879,1.106,0.095,1.00,3.432,dataset\g24.cat
3547,-15.1139,0.0008,-16.6469,0.0005,-16.6469,0.0005,3.50,4548.292,158.8562,867,947,148.6885766,+69.1908322,1155.684,1554.288,22.37,0.001161775,1.298,0.230,0.95,3.683,dataset\i24.cat,2445,-15.1726,0.0008,-16.4507,0.0005,-16.4507,0.0005,3.50,2428.155,108.2077,968,1027,148.6872905,+69.1909122,1189.713,1635.334,7.71,0.0004002909,1.116,0.104,1.00,3.255,dataset\r24.cat,2407,-15.2369,0.0008,-16.5025,0.0005,-16.5025,0.0005,3.50,1724.16,90.98881,1363,1481,148.6829339,+69.1924809,1138.985,1689.927,7.18,0.0003728018,1.068,0.064,1.00,3.352,dataset\g24.cat
1769,-15.1079,0.0008,-17.2418,0.0004,-17.2418,0.0004,3.50,5308.025,158.8562,1133,1228,148.7328457,+69.1476435,857.738,715.156,27.97,0.001453024,1.801,0.445,0.81,5.072,dataset\i24.cat,1248,-15.1685,0.0008,-17.0381,0.0004,-17.0381,0.0004,3.50,2987.2,108.2077,1223,1301,148.7314248,+69.1476206,892.277,795.924,24.64,0.001279752,1.169,0.145,0.99,4.233,dataset\r24.cat,1149,-15.2303,0.0008,-17.0547,0.0004,-17.0547,0.0004,3.50,2237.808,90.98881,1840,2029,148.7261850,+69.1488743,845.177,848.896,15.24,0.0007916096,1.147,0.128,1.00,4.158,dataset\g24.cat
6,-15.0866,0.0009,-16.2618,0.0007,-16.2618,0.0007,3.50,6169.943,158.8562,688,754,148.7376659,+69.1124362,827.781,42.112,10.56,0.0005486693,1.104,0.094,0.99,3.092,dataset\i24.cat,4,-15.1401,0.0008,-16.2361,0.0006,-16.2361,0.0006,3.50,3601.363,108.2077,792,840,148.7361087,+69.1123092,862.668,122.741,6.77,0.0003516307,1.021,0.021,1.00,3.015,dataset\r24.cat,117,-15.2030,0.0008,-16.4543,0.0005,-16.4543,0.0005,3.50,2790.642,90.98881,988,1059,148.7308540,+69.1139264,819.043,175.724,7.29,0.0003785826,1.118,0.106,1.00,3.313,dataset\g24.cat
4388,-15.0865,0.0009,-15.9674,0.0007,-15.9674,0.0007,3.50,4436.214,158.8562,451,474,148.7796757,+69.2306610,531.445,2318.773,7.09,0.000368372,1.047,0.045,1.00,2.689,dataset\i24.cat,3137,-15.0964,0.0008,-15.9637,0.0006,-15.9637,0.0006,3.50,2359.341,108.2077,531,561,148.7780894,+69.2306392,565.547,2399.183,5.33,0.0002769166,1.045,0.043,1.00,2.700,dataset\r24.cat,3309,-15.1192,0.0008,-16.1319,0.0006,-16.1319,0.0006,3.50,1646.605,90.98881,693,724,148.7743399,+69.2321010,511.457,2450.852,5.83,0.0003026155,1.111,0.100,1.00,2.963,dataset\g24.cat
4937,-15.0786,0.0009,-15.8676,0.0008,-15.8676,0.0008,3.50,4312.349,158.8562,458,478,148.6514898,+69.3379066,1393.794,4387.448,5.76,0.0002994558,1.059,0.055,1.00,2.561,dataset\i24.cat,3640,-15.0377,0.0009,-15.8539,0.0007,-15.8539,0.0007,3.50,2223.126,108.2077,554,577,148.6501725,+69.3378816,1427.026,4468.121,5.00,0.000259497,1.045,0.043,1.00,2.619,dataset\r24.cat,3753,-15.0371,0.0009,-16.0093,0.0006,-16.0093,0.0006,3.50,1523.897,90.98881,576,598,148.6477758,+69.3395598,1363.482,4523.732,5.43,0.0002821454,1.085,0.078,0.99,2.888,dataset\g24.cat
3529,-15.0476,0.0009,-15.7981,0.0008,-15.8208,0.0009,3.50,4389.657,158.8562,376,391,148.6153863,+69.1876151,1658.408,1495.762,5.15,0.0002676065,1.071,0.066,1.00,2.502,dataset\i24.cat,2432,-15.0122,0.0009,-15.8191,0.0007,-15.8408,0.0008,3.50,2316.324,108.2077,442,464,148.6139554,+69.1876407,1692.382,1576.757,4.87,0.0002529386,1.066,0.062,1.00,2.597,dataset\r24.cat,2406,-14.9690,0.0009,-16.0357,0.0006,-16.0357,0.0006,3.50,1627.208,90.98881,718,766,148.6094434,+69.1893681,1642.721,1633.682,6.31,0.0003278843,1.350,0.259,0.99,3.083,dataset\g24.cat
4688,-15.1279,0.0008,-16.7504,0.0005,-16.7504,0.0005,3.50,4278.919,158.8562,736,777,148.6495247,+69.2619651,1415.387,2929.077,21.39,0.001110928,1.381,0.276,0.97,3.871,dataset\i24.cat,3401,-15.1880,0.0008,-16.1904,0.0006,-16.1904,0.0006,3.50,2222.573,108.2077,645,672,148.6480743,+69.2621476,1449.034,3010.046,6.03,0.0003131274,1.049,0.047,1.00,2.901,dataset\r24.cat,3596,-14.7809,0.0010,-15.6616,0.0008,-15.6616,0.0008,3.50,1523.246,90.98881,567,596,148.6447643,+69.2638240,1391.970,3066.010,4.84,0.0002516502,1.079,0.074,0.99,2.753,dataset\g24.cat
13,-15.0280,0.0009,-16.0035,0.0008,-16.0035,0.0008,3.50,7714.612,158.8562,664,733,148.8014792,+69.1118508,389.127,30.140,6.49,0.0003371205,1.251,0.200,0.99,2.820,dataset\i24.cat,81,-15.0254,0.0009,-15.9163,0.0007,-15.9631,0.0008,3.50,4555.885,108.2077,770,815,148.8000663,+69.1118298,423.970,111.011,5.34,0.0002775918,1.158,0.137,0.99,2.747,dataset\r24.cat,104,-14.7007,0.0010,-15.8274,0.0008,-15.8976,0.0009,3.50,3618.648,90.98881,1083,1112,148.7946726,+69.1132366,379.758,161.098,7.33,0.0003805812,1.562,0.360,0.98,3.202,dataset\g24.cat
4911,-15.1205,0.0008,-16.2096,0.0006,-16.2096,0.0006,3.50,4295.769,158.8562,527,565,148.6363358,+69.3289926,1498.271,4215.766,10.71,0.0005563459,1.099,0.090,1.00,2.974,dataset\i24.cat,3651,-15.0870,0.0008,-15.9830,0.0006,-15.9830,0.0006,3.50,2213.29,108.2077,550,580,148.6350206,+69.3289672,1531.447,4296.478,5.35,0.0002777497,1.031,0.030,1.00,2.729,dataset\r24.cat,3865,-14.6896,0.0010,-15.5970,0.0008,-15.5970,0.0008,3.50,1515.963,90.98881,530,554,148.6324716,+69.3306459,1468.629,4352.822,4.93,0.0002562843,1.080,0.074,0.99,2.788,dataset\g24.cat
4560,-15.1221,0.0008,-16.8604,0.0005,-16.8604,0.0005,3.50,4287.542,158.8562,851,902,148.6326674,+69.2445289,1532.702,2593.997,22.66,0.0011773,1.452,0.311,0.92,4.086,dataset\i24.cat,3301,-15.1930,0.0008,-16.6381,0.0005,-16.6381,0.0005,3.50,2239.724,108.2077,913,976,148.6310743,+69.2447105,1566.419,2674.603,12.03,0.0006248603,1.070,0.066,1.00,3.511,dataset\r24.cat,2614,-14.6818,0.0010,-19.4329,0.0001,-19.3954,0.0001,3.50,1562.785,90.98881,1884,2465,148.6276088,+69.2464394,1490.121,2604.888,122.95,0.006386411,13.372,0.925,0.96,66.295,dataset\g24.cat
4621,-15.1271,0.0008,-16.2696,0.0006,-16.2696,0.0006,3.50,4286.845,158.8562,580,613,148.6431370,+69.2494339,1460.012,2684.591,12.84,0.0006672262,1.118,0.105,1.00,3.079,dataset\i24.cat,3335,-15.0895,0.0008,-15.9885,0.0006,-15.9885,0.0006,3.50,2237.753,108.2077,562,604,148.6419852,+69.2494610,1493.671,2765.482,5.37,0.0002787018,1.053,0.050,1.00,2.726,dataset\r24.cat,3539,-14.6138,0.0011,-15.5123,0.0008,-15.5123,0.0008,3.50,1543.496,90.98881,543,575,148.6383766,+69.2511371,1437.833,2821.686,4.89,0.0002539372,1.079,0.073,0.98,2.778,dataset\g24.cat
2336,-15.0988,0.0009,-16.5178,0.0006,-16.5178,0.0006,3.50,5660.898,158.8562,911,1002,148.8027847,+69.1580786,379.236,919.934,23.94,0.001243491,1.015,0.015,0.97,3.501,dataset\i24.cat,1627,-15.0830,0.0008,-16.0088,0.0007,-16.0088,0.0007,3.50,3263.888,108.2077,781,842,148.8012154,+69.1580575,413.780,1000.624,5.67,0.0002943497,1.102,0.093,1.00,2.788,dataset\r24.cat,1552,-14.5615,0.0011,-15.4780,0.0009,-15.4780,0.0009,3.50,2586.135,90.98881,649,716,148.7964192,+69.1594649,365.809,1051.646,5.16,0.00026823,1.242,0.195,0.98,2.830,dataset\g24.cat
1019,-14.7398,0.0010,-15.2775,0.0011,-15.2775,0.0011,3.50,4383.669,158.8562,290,313,148.5880329,+69.1284418,1853.010,357.582,3.84,0.0001995362,1.043,0.041,1.00,2.124,dataset\i24.cat,805,-14.4462,0.0012,-15.1663,0.0010,-15.1663,0.0010,3.50,2304.723,108.2077,363,381,148.5866155,+69.1284666,1887.368,438.806,4.18,0.0002170196,1.071,0.067,0.98,2.437,dataset\r24.cat,807,-14.4484,0.0012,-15.3634,0.0009,-15.3634,0.0009,3.50,1620.702,90.98881,488,525,148.5813515,+69.1302453,1842.345,496.601,5.04,0.0002616481,1.118,0.106,0.99,2.804,dataset\g24.cat
4787,-15.1158,0.0008,-16.0826,0.0007,-16.0826,0.0007,3.50,4249.394,158.8562,492,512,148.5714358,+69.2789765,1945.660,3255.639,7.69,0.0003996545,1.071,0.066,1.00,2.805,dataset\i24.cat,3488,-15.0219,0.0009,-15.7941,0.0007,-15.7941,0.0007,3.50,2210.286,108.2077,317,326,148.5701319,+69.2789493,1978.982,3336.758,4.95,0.0002573632,1.053,0.051,1.00,2.547,dataset\r24.cat,3682,-14.3966,0.0012,-15.2829,0.0009,-15.2829,0.0009,3.50,1516.375,90.98881,462,488,148.5669672,+69.2807338,1920.604,3395.109,4.85,0.0002518912,1.086,0.079,0.99,2.754,dataset\g24.cat
4666,-14.5908,0.0011,-15.1055,0.0012,-15.1055,0.0012,3.50,4339.109,158.8562,271,283,148.7835137,+69.2557013,503.019,2800.566,3.58,0.0001857928,1.010,0.010,0.99,2.054,dataset\i24.cat,3385,-14.2011,0.0013,-14.9213,0.0012,-14.9213,0.0012,3.50,2271.38,108.2077,329,346,148.7820680,+69.2556798,536.956,2880.897,4.21,0.0002184722,1.058,0.055,0.98,2.435,dataset\r24.cat,3574,-14.1156,0.0014,-15.0263,0.0011,-15.0263,0.0011,3.50,1564.004,90.98881,420,463,148.7786214,+69.2571417,480.574,2932.472,5.00,0.0002599031,1.104,0.094,0.98,2.801,dataset\g24.cat
68,-11.4589,0.0091,99.0000,99.0000,-11.6793,0.0109,0.00,6185,158.8562,28,28,148.7344868,+69.1104054,850.192,5.186,4.31,0.0002236455,1.692,0.409,0.97,-14.151,dataset\i24.cat,5,-14.5599,0.0011,-15.3123,0.0010,-15.3123,0.0010,3.50,3590.214,108.2077,577,627,148.7332341,+69.1092920,883.125,64.198,4.26,0.0002211359,1.216,0.178,0.98,2.502,dataset\r24.cat,77,-14.0425,0.0014,-15.1157,0.0014,-15.1846,0.0017,3.50,2790.048,90.98881,1118,1188,148.7278333,+69.1108571,839.756,117.383,5.14,0.0002669937,1.190,0.160,0.87,3.180,dataset\g24.cat
4886,-14.5578,0.0011,-15.0693,0.0012,-15.0693,0.0012,3.50,4333.535,158.8562,255,273,148.7157810,+69.2975145,961.017,3608.098,3.56,0.0001849083,1.014,0.013,0.98,2.070,dataset\i24.cat,3652,-14.0216,0.0014,-14.7519,0.0013,-14.7519,0.0013,3.50,2242.074,108.2077,288,306,148.7144720,+69.2975433,994.596,3688.604,4.24,0.0002200348,1.059,0.055,0.98,2.472,dataset\r24.cat,3793,-13.6969,0.0017,-14.6019,0.0014,-14.6019,0.0014,3.50,1546.83,90.98881,344,364,148.7114763,+69.2991131,934.485,3742.341,4.93,0.0002560843,1.083,0.076,0.98,2.774,dataset\g24.cat
1555,-13.9132,0.0016,-14.9174,0.0024,-14.9214,0.0025,3.50,5558.917,158.8562,535,589,148.7378752,+69.1421979,824.344,617.778,4.11,0.000213492,1.773,0.436,0.90,3.181,dataset\i24.cat,1068,-13.8537,0.0016,-15.9330,0.0015,-15.9256,0.0015,3.50,3155.601,108.2077,2524,2644,148.7363090,+69.1422268,860.181,698.240,8.67,0.0004501078,1.275,0.216,0.04,8.495,dataset\r24.cat,1010,-13.6122,0.0018,-16.0184,0.0010,-16.0167,0.0011,3.50,2438.782,90.98881,2049,2116,148.7313564,+69.1437405,814.710,750.734,12.77,0.0006631105,1.430,0.301,0.03,7.880,dataset\g24.cat
1618,-12.4173,0.0043,-14.2032,0.0037,-13.9880,0.0045,3.50,5539.29,158.8562,301,312,148.7365643,+69.1420400,833.737,612.954,12.02,0.0006243227,1.780,0.438,0.03,5.278,dataset\i24.cat,1068,-13.8537,0.0016,-15.9330,0.0015,-15.9256,0.0015,3.50,3155.601,108.2077,2524,2644,148.7363090,+69.1422268,860.181,698.240,8.67,0.0004501078,1.275,0.216,0.04,8.495,dataset\r24.cat,1010,-13.6122,0.0018,-16.0184,0.0010,-16.0167,0.0011,3.50,2438.782,90.98881,2049,2116,148.7313564,+69.1437405,814.710,750.734,12.77,0.0006631105,1.430,0.301,0.03,7.880,dataset\g24.cat
1761,-13.8201,0.0017,-14.4360,0.0021,-14.4464,0.0025,3.50,5521.226,158.8562,233,243,148.7396037,+69.1439666,812.042,651.144,3.36,0.0001744534,1.116,0.104,0.98,2.236,dataset\i24.cat,1244,-13.4961,0.0019,-14.5832,0.0018,-14.5208,0.0020,3.50,3152.572,108.2077,356,357,148.7380371,+69.1439956,846.641,731.829,4.31,0.0002241009,1.241,0.194,0.89,3.350,dataset\r24.cat,1162,-13.4972,0.0019,-15.1910,0.0016,-15.1553,0.0015,3.50,2408.872,90.98881,852,874,148.7330851,+69.1455092,799.060,785.134,7.50,0.0003898027,2.964,0.663,0.53,6.185,dataset\g24.cat
1752,-11.7356,0.0073,-13.1244,0.0115,-13.2478,0.0141,3.50,5464.032,158.8562,305,372,148.7384249,+69.1448997,821.199,668.490,6.42,0.0003335235,1.870,0.465,0.85,4.792,dataset\i24.cat,1244,-13.4961,0.0019,-14.5832,0.0018,-14.5208,0.0020,3.50,3152.572,108.2077,356,357,148.7380371,+69.1439956,846.641,731.829,4.31,0.0002241009,1.241,0.194,0.89,3.350,dataset\r24.cat,1162,-13.4972,0.0019,-15.1910,0.0016,-15.1553,0.0015,3.50,2408.872,90.98881,852,874,148.7330851,+69.1455092,799.060,785.134,7.50,0.0003898027,2.964,0.663,0.53,6.185,dataset\g24.cat
1583,-12.7889,0.0033,-14.6440,0.0033,-14.4244,0.0036,3.50,5773.196,158.8562,415,441,148.7540680,+69.1421710,712.970,615.897,7.11,0.0003694835,1.062,0.058,0.03,6.260,dataset\i24.cat,1048,-13.0274,0.0025,-15.9788,0.0011,-15.8815,0.0012,3.50,3344.293,108.2077,1669,1719,148.7525019,+69.1422003,746.864,698.099,16.52,0.0008582721,2.326,0.570,0.03,9.642,dataset\r24.cat,984,-13.3734,0.0020,-15.9272,0.0011,-15.8190,0.0012,3.50,2631.495,90.98881,1771,1832,148.7475510,+69.1436615,700.596,749.587,13.30,0.0006906147,1.683,0.406,0.03,9.392,dataset\g24.cat
1759,-12.2292,0.0050,-13.0335,0.0062,-12.8975,0.0075,3.50,5767.198,158.8562,96,115,148.7543543,+69.1426389,710.981,624.631,4.03,0.0002094593,1.265,0.210,0.98,2.613,dataset\i24.cat,1048,-13.0274,0.0025,-15.9788,0.0011,-15.8815,0.0012,3.50,3344.293,108.2077,1669,1719,148.7525019,+69.1422003,746.864,698.099,16.52,0.0008582721,2.326,0.570,0.03,9.642,dataset\r24.cat,984,-13.3734,0.0020,-15.9272,0.0011,-15.8190,0.0012,3.50,2631.495,90.98881,1771,1832,148.7475510,+69.1436615,700.596,749.587,13.30,0.0006906147,1.683,0.406,0.03,9.392,dataset\g24.cat
5043,-15.0186,0.0009,-15.6876,0.0008,-15.6876,0.0008,3.50,4364.46,158.8562,376,393,148.7541549,+69.3323240,696.565,4277.016,4.88,0.0002533922,1.009,0.009,1.00,2.390,dataset\i24.cat,3718,-14.2025,0.0013,-14.9273,0.0012,-14.9273,0.0012,3.50,2236.606,108.2077,334,363,148.7528382,+69.3323538,730.019,4357.362,4.27,0.0002219417,1.043,0.041,0.98,2.445,dataset\r24.cat,3773,-13.3611,0.0020,-14.2348,0.0018,-14.2348,0.0018,3.50,1557.014,90.98881,292,305,148.7504494,+69.3338187,666.589,4410.064,4.82,0.0002504764,1.100,0.091,0.98,2.739,dataset\g24.cat
1497,-12.6319,0.0037,-15.1775,0.0029,-15.1551,0.0030,3.50,5780.148,158.8562,982,1072,148.7564057,+69.1418628,695.738,607.568,16.78,0.0008718105,1.156,0.135,0.03,8.540,dataset\i24.cat,1045,-13.0956,0.0024,-16.5158,0.0009,-16.3929,0.0009,3.50,3364.854,108.2077,2196,2304,148.7549861,+69.1418405,731.058,686.555,22.53,0.00117052,1.273,0.214,0.03,12.369,dataset\r24.cat,994,-13.3387,0.0020,-15.8838,0.0010,-15.8297,0.0010,3.50,2640.074,90.98881,1304,1319,148.7498888,+69.1433533,684.863,740.249,10.40,0.0005400482,1.744,0.427,0.03,7.636,dataset\g24.cat
3838,-14.6402,0.0011,-15.1703,0.0011,-15.1703,0.0011,3.50,4603.445,158.8562,279,330,148.7589191,+69.2018571,674.594,1764.455,3.73,0.0001938313,1.047,0.045,0.99,2.072,dataset\i24.cat,2689,-13.9716,0.0015,-14.6779,0.0014,-14.6779,0.0014,3.50,2478.856,108.2077,288,305,148.7574858,+69.2018349,708.821,1844.966,4.21,0.0002186667,1.034,0.033,0.99,2.428,dataset\r24.cat,2733,-13.3028,0.0021,-14.1914,0.0019,-14.1914,0.0019,3.50,1768.171,90.98881,323,345,148.7532849,+69.2033489,657.176,1897.593,4.87,0.0002530037,1.018,0.018,0.98,2.748,dataset\g24.cat
3776,-14.7181,0.0010,-15.2474,0.0011,-15.2474,0.0011,3.50,4388.047,158.8562,294,343,148.6317002,+69.1993384,1544.851,1720.549,3.79,0.0001968585,1.036,0.035,0.99,2.095,dataset\i24.cat,2640,-13.9424,0.0015,-14.6516,0.0014,-14.6516,0.0014,3.50,2320.8,108.2077,292,316,148.6302668,+69.1993645,1578.793,1801.420,4.18,0.0002171964,1.021,0.020,0.98,2.430,dataset\r24.cat,2688,-13.1729,0.0022,-14.0240,0.0021,-14.0240,0.0021,3.50,1630.172,90.98881,263,279,148.6260533,+69.2010399,1527.323,1857.958,4.78,0.0002483105,1.068,0.064,0.98,2.676,dataset\g24.cat
3812,-15.0240,0.0009,-15.7199,0.0008,-15.7199,0.0008,3.50,4315.92,158.8562,397,424,148.5885556,+69.1991861,1840.394,1719.868,4.99,0.0002591948,1.007,0.007,1.00,2.411,dataset\i24.cat,2642,-13.9644,0.0015,-14.6742,0.0014,-14.6742,0.0014,3.50,2263.703,108.2077,296,314,148.5871221,+69.1992109,1874.171,1800.893,4.27,0.0002219373,1.046,0.044,0.98,2.414,dataset\r24.cat,2694,-13.1304,0.0023,-13.9847,0.0022,-13.9847,0.0022,3.50,1571.995,90.98881,270,284,148.5829033,+69.2009921,1822.765,1858.822,4.74,0.0002460629,1.085,0.079,0.98,2.695,dataset\g24.cat
2036,-13.5293,0.0020,-14.0402,0.0025,-14.0402,0.0025,3.50,4407.002,158.8562,161,176,148.5999039,+69.1483118,1769.289,739.699,3.33,0.0001731234,1.065,0.061,0.98,2.015,dataset\i24.cat,1404,-13.1115,0.0024,-13.8219,0.0025,-13.8219,0.0025,3.50,2319.626,108.2077,205,214,148.5984820,+69.1483370,1803.589,820.796,4.18,0.0002169358,1.042,0.040,0.98,2.419,dataset\r24.cat,1353,-13.0841,0.0023,-13.9741,0.0022,-13.9741,0.0022,3.50,1635.288,90.98881,262,276,148.5935178,+69.1500640,1756.796,878.190,4.94,0.0002565091,1.108,0.098,0.98,2.756,dataset\g24.cat
121,-14.7882,0.0010,-15.3865,0.0012,-15.4398,0.0014,3.50,5761.264,158.8562,463,511,148.7198420,+69.1162504,949.975,117.675,4.11,0.0002137231,1.286,0.222,1.00,2.219,dataset\i24.cat,288,-13.9262,0.0015,-14.6828,0.0015,-14.7160,0.0017,3.50,3304.925,108.2077,350,365,148.7184276,+69.1162790,984.404,198.516,4.12,0.0002141511,1.172,0.147,0.98,2.517,dataset\r24.cat,289,-13.0791,0.0023,-14.2538,0.0024,-14.2225,0.0028,3.50,2559.033,90.98881,516,541,148.7130284,+69.1177927,940.342,252.048,5.03,0.0002610267,1.961,0.490,0.88,3.539,dataset\g24.cat
124,-13.3135,0.0023,-13.9307,0.0031,-13.9307,0.0031,3.50,6869.616,158.8562,197,214,148.7723286,+69.1132670,589.488,58.823,3.88,0.0002013579,1.124,0.111,0.98,2.220,dataset\i24.cat,213,-13.0661,0.0024,-13.8646,0.0025,-13.8646,0.0025,3.50,4068.684,108.2077,213,224,148.7707692,+69.1132969,624.427,139.706,4.44,0.0002307087,1.124,0.110,0.98,2.589,dataset\r24.cat,181,-13.0603,0.0024,-14.5318,0.0024,-14.5440,0.0026,3.50,3229.375,90.98881,763,855,148.7653734,+69.1147567,581.744,192.547,7.31,0.0003795557,3.339,0.701,0.89,4.214,dataset\g24.cat
1877,-14.4847,0.0012,-14.9888,0.0013,-14.9888,0.0013,3.50,4668.269,158.8562,222,236,148.6564104,+69.1461523,1381.733,695.531,3.46,0.0001799225,1.043,0.041,0.99,2.015,dataset\i24.cat,1321,-13.7529,0.0016,-14.4512,0.0016,-14.4512,0.0016,3.50,2497.702,108.2077,238,252,148.6549890,+69.1461791,1416.041,776.506,4.16,0.0002162696,1.047,0.045,0.98,2.402,dataset\r24.cat,1277,-12.9972,0.0024,-13.8381,0.0023,-13.8381,0.0023,3.50,1793.647,90.98881,231,239,148.6500303,+69.1478000,1369.285,832.243,4.73,0.0002454807,1.103,0.094,0.98,2.659,dataset\g24.cat
4902,-13.6549,0.0019,-14.6726,0.0024,-14.6726,0.0024,3.50,4361.042,158.8562,544,597,148.7345356,+69.3245026,831.056,4126.796,4.30,0.0002232512,1.106,0.095,0.80,3.147,dataset\i24.cat,3667,-13.1017,0.0024,-14.3115,0.0025,-14.3115,0.0025,3.56,2241.144,108.2077,538,593,148.7330742,+69.3244798,864.694,4207.028,5.26,0.0002731562,1.153,0.133,0.76,3.528,dataset\r24.cat,3796,-12.8976,0.0026,-14.2577,0.0024,-14.2577,0.0024,3.58,1554.972,90.98881,611,670,148.7305322,+69.3260494,802.212,4260.255,5.91,0.0003071631,1.138,0.121,0.88,3.881,dataset\g24.cat
4772,-13.2203,0.0025,-13.7004,0.0031,-13.7004,0.0031,3.50,4330.262,158.8562,128,135,148.7830270,+69.2740355,505.210,3154.305,3.34,0.0001734759,1.021,0.021,0.98,1.984,dataset\i24.cat,3451,-12.8291,0.0028,-13.5368,0.0031,-13.5368,0.0031,3.50,2248.938,108.2077,170,198,148.7815766,+69.2740660,539.068,3234.605,4.23,0.0002196348,1.080,0.074,0.98,2.425,dataset\r24.cat,3660,-12.8797,0.0026,-13.7676,0.0025,-13.7676,0.0025,3.50,1551.94,90.98881,244,258,148.7782844,+69.2754762,481.076,3286.119,4.97,0.0002581007,1.122,0.109,0.98,2.757,dataset\g24.cat
4796,-14.6257,0.0011,-15.0962,0.0011,-15.0962,0.0011,3.50,4340.815,158.8562,170,183,148.8371399,+69.2794484,135.567,3256.796,3.60,0.0001870652,1.010,0.010,1.00,1.977,dataset\i24.cat,3486,-13.7207,0.0017,-14.4496,0.0017,-14.4496,0.0017,3.50,2247.526,108.2077,289,310,148.8358355,+69.2794286,169.521,3336.897,4.23,0.0002194997,1.043,0.041,0.98,2.453,dataset\r24.cat,3686,-12.8360,0.0027,-13.6094,0.0026,-13.6094,0.0026,3.50,1553.474,90.98881,171,180,148.8326962,+69.2807844,110.593,3386.998,4.64,0.0002407807,1.099,0.090,0.98,2.535,dataset\g24.cat
